"","ori_r","ori_p","ori_y","gyr_x","gyr_y","gyr_z","acc_x","acc_y","acc_z","LABEL","FILE"
"1",198.77004586882,87.7462507933559,94.9454031156229,-9.11824789653862e-06,7.25068297780713e-05,0.000106128182898532,-0.984370902339759,-0.0116007444401902,-0.0242753414448257,0,25
"2",206.948811710428,88.0238997700018,109.224376317893,-2.49803414411583e-05,3.52359263696425e-05,-2.41584074901044e-05,-0.982419259303084,-0.010801722439143,-0.0169361512124468,1,28
"3",205.288729193871,87.4614423033113,132.875944432505,-0.000426106817230329,2.23955394907872e-05,0.000386394996202835,-0.981701021765442,-0.0227156033835963,-0.0167764072225367,1,31
"4",198.083177547741,87.2986386413792,132.354104052412,-0.000238446213570091,-0.000338244994872069,-0.000404576429127527,-0.98342650291625,-0.0164356759142423,-0.0227885238345244,0,32
"5",198.553666583931,87.4240423270213,138.820590501549,-0.000327848116312669,-0.000687838878855814,0.00014653217772792,-0.983241111209127,-0.0122962419693191,-0.0207860383510678,1,36
"6",210.022445187676,87.9416077178502,90.6249547376063,-1.43734530525695e-05,-0.000105909313068544,-0.000189870337975754,-0.97992020920455,-0.0140081227032791,-0.0182087918884404,1,37
"7",197.558860350075,87.4302518418473,140.44500588257,-2.48111760446143e-05,-0.000355011068325674,9.39089050224876e-05,-0.984399656235184,-0.0117593569898442,-0.0203915478441474,0,41
"8",201.891294451201,87.5947509504255,140.055855479296,6.99364559745376e-05,-2.26797174403144e-06,-0.00010117695277945,-0.980666275644477,-0.0125100513029856,-0.0168383894232357,1,55
"9",204.978785799739,87.9209309462862,104.25813910262,-9.28787730675348e-05,-0.00015314678707834,0.000128467916296603,-0.983170480908171,-0.0109715930919811,-0.017485491926025,1,79
"10",206.769040994337,87.5672974428893,122.600961617571,0.00012953680041911,0.000232339517346447,1.64051440411348e-05,-0.982529741738524,-0.0198246451887826,-0.0169725164722227,1,97
"11",196.74145781346,88.0180288035984,107.869824410202,0.000173703610704255,-5.13534917187955e-05,5.13675614034936e-06,-0.984282013559077,-0.0140605561519467,-0.0201697613458216,0,100
"12",200.918833847807,87.3089841969188,125.05494588366,0.000293271442464849,0.000752885571616068,-0.000347527075495753,-0.984145350150918,-0.0179604129464176,-0.0314724202267387,0,103
